form,city,ward,date,time,gender,seller_level_name,sellers_level_code,primary_drug_sold,secondary_drug_sold,3_stock_heroin_covid,3_stock_cocaine_covid,3_stock_meth_covid,4_g_heroin_sold_weekly_gms,4_g_cocaine_sold_weekly_gms,4_g_meth_sold_weekly_gms,5_heroin_sales_covid,5_cocaine_sales_covid,5_meth_sales,6_sell_to_sellers,6a_herion,6a_cocaine,6a_meth,6b_herion_units,6b_herion_g,6b_cocaine_units,6b_cocaine_g,6b_meth_units,6b_meth_grams,6c_herion,6c_cocaine,6c_meth,7_sell_to_users,7a_herion,7a_cocaine,7a_meth_,7b_herion_units,7b_herion_g,7b_cocaine_units,7b_cocaine_g,7b_meth_units,7b_meth_g,7c_herion,7c_cocaine,7c_meth,8_area_1,8_area_2,8_area_3,8_area_4,9_years_working,10_number_sellers_same_level,11_can_link
CPTNF003,cpt,Woodstock,24/07/2020,20:00,1,Pusher,2,1,4,1,,1,20,0,40,2,,2,0,,,,,,,,,,,,,1,100,,100,3,0.3,,,4,1,5,0,5,Masikane,,,,3,10,1
CPTNF005,cpt,CBD,25/07/2020,10:00,1,Merchant,3,4,1,1,,1,50,0,150,2,,2,0,,,,,,,,,,,,,1,50,0,150,1,0.2,,,3,1.5,5,0,5,Cape Town CBD [Good Hope Centre],,,,1,2,1
CPTNF007,cpt,Observatory,25/07/2020,8:00,1,Pusher,2,1,4,1,,1,20,0,20,2,,2,0,,,,,,,,,,,,,1,100,0,75,2,0.5,,,2,0.5,5,0,5,Observatory,,,,7,6,1
CPTNF008,cpt,Woodstock,12/08/2020,14:30,1,Dealer,2,4,1,1,,1,140,,280,2,,2,1,4,,7,30,5,,,40,5,2,,1,1,100,,150,3,0.6,,,8,1.6,3,,3,Woodstock (Masikani),,,,5,8,1
CPTFF009,cpt,CBD,12/08/2020,10:00,1,Pusher,1,4,0,,,1,,,8,,,2,1,,,3,,,,,,5,,,2,1,,,50,,,,,4,0.8,,,3,"Hope Street, CBD",,,,3,4,0
CPTCR010,cpt,Woodstock,12/08/2020,10:00,1,Pusher,1,4,0,,,1,,,5,,,2,0,,,,,,,,,,,,,1,,,10,,,,,4,0.8,,,3,Woodstock,,,,5,14,1
CPTCR011,cpt,Woodstock,12/08/2020,10:20,1,Runner,1,4,1,1,,1,10,,50,2,,2,1,5,,6,,5,,,,10,3,,3,1,40,,500,8,1.6,,,2,0.4,5,,5,Woodstock,,,,4,8,0
CPTCR013,cpt,Woodstock,12/08/2020,11:29,1,Dealer,2,4,1,1,,1,400,,700,2,,2,1,50,0,60,,,,5,,50,2,,3,1,20,,60,2,0.4,,,3,0.6,2,,3,Belhar,Khaylisha,,,6,7,0
CPTZSN014,cpt,CBD,12/08/2020,15:45,1,Dealer,2,1,4,1,,1,500,,100,2,,2,0,,,,,,,,,,,,,1,200,,100,2,0.4,,,2,0.4,5,,5,Parow,,,,5,8,1
CPTNR004,cpt,,25/07/2020,10:00,1,Merchant,3,4,1,1,1,1,130,,500,2,,2,1,,,,,4,,,,4,1,,1,0,,,,,,,,,,,,,Parade Cape Town,,,,7,4,1
CPTCR,cpt,Location Site C,,,1,2nd,2,4,1,1,1,1,400,50,700,2,2,2,1,50,10,60,,5,,5,,50,2,2,3,1,20,5,60,,,,,,,3,3,3,Khayalisha,Belhar,Woodstock,,,7,0
CPTCR,cpt,Woodstock,12/08/2020,11:29,1,2nd,2,4,1,1,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
xx,cpt,Woodstock,10/08/2020,14:10,3,Low,1,1,4,1,,1,,,,,,,0,,,,,,,,,,,,,1,100,,,2,0.4,,,,,5,,,,Woodstock,,,,,1
DBNMJS001,dbn,Morningside,20/08/2020,16h40,1,Runner,1,2,1,0,0,,,,,0,0,,0,,,,,,,,,,,,,1,900,900,,6,0.6,4,0.2,,,5,5,,Morningside,,,,4,10,1
